Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 5, 5","R: 6, 5","R: 7, 5","R: 8, 5","R: 9, 5","R: 10, 5","R: 11, 5","R: 12, 5","R: 13, 5","R: 14, 5","R: 15, 5","R: 16, 5","R: 17, 5","R: 18, 5","R: 19, 5","R: 20, 5","R: 21, 5","R: 22, 5","R: 23, 5","R: 24, 5","R: 25, 5","R: 26, 5","R: 27, 5","R: 5, 6","R: 6, 6","R: 7, 6","R: 8, 6","R: 9, 6","R: 10, 6","R: 11, 6","R: 12, 6","R: 13, 6","R: 14, 6","R: 15, 6","R: 16, 6","R: 17, 6","R: 18, 6","R: 19, 6","R: 20, 6","R: 21, 6","R: 22, 6","R: 23, 6","R: 24, 6","R: 25, 6","R: 26, 6","R: 5, 7","R: 6, 7","R: 7, 7","R: 8, 7","R: 9, 7","R: 10, 7","R: 11, 7","R: 12, 7","R: 13, 7","R: 14, 7","R: 15, 7","R: 16, 7","R: 17, 7","R: 18, 7","R: 19, 7","R: 20, 7","R: 21, 7","R: 22, 7","R: 23, 7","R: 24, 7","R: 25, 7","R: 5, 8","R: 6, 8","R: 7, 8","R: 8, 8","R: 9, 8","R: 10, 8","R: 11, 8","R: 12, 8","R: 13, 8","R: 14, 8","R: 15, 8","R: 16, 8","R: 17, 8","R: 18, 8","R: 19, 8","R: 20, 8","R: 21, 8","R: 22, 8","R: 23, 8","R: 24, 8","R: 5, 9","R: 6, 9","R: 7, 9","R: 8, 9","R: 9, 9","R: 10, 9","R: 11, 9","R: 12, 9","R: 13, 9","R: 14, 9","R: 15, 9","R: 16, 9","R: 17, 9","R: 18, 9","R: 19, 9","R: 20, 9","R: 21, 9","R: 22, 9","R: 23, 9","R: 5, 10","R: 6, 10","R: 7, 10","R: 8, 10","R: 9, 10","R: 10, 10","R: 11, 10","R: 12, 10","R: 13, 10","R: 14, 10","R: 15, 10","R: 16, 10","R: 17, 10","R: 18, 10","R: 19, 10","R: 20, 10","R: 21, 10","R: 22, 10","R: 5, 11","R: 6, 11","R: 7, 11","R: 8, 11","R: 9, 11","R: 10, 11","R: 11, 11","R: 12, 11","R: 13, 11","R: 14, 11","R: 15, 11","R: 16, 11","R: 17, 11","R: 18, 11","R: 19, 11","R: 20, 11","R: 21, 11","R: 5, 12","R: 6, 12","R: 7, 12","R: 8, 12","R: 9, 12","R: 10, 12","R: 11, 12","R: 12, 12","R: 13, 12","R: 14, 12","R: 15, 12","R: 16, 12","R: 17, 12","R: 18, 12","R: 19, 12","R: 20, 12","R: 5, 13","R: 6, 13","R: 7, 13","R: 8, 13","R: 9, 13","R: 10, 13","R: 11, 13","R: 12, 13","R: 13, 13","R: 14, 13","R: 15, 13","R: 16, 13","R: 17, 13","R: 18, 13","R: 19, 13","R: 5, 14","R: 6, 14","R: 7, 14","R: 8, 14","R: 9, 14","R: 10, 14","R: 11, 14","R: 12, 14","R: 13, 14","R: 14, 14","R: 15, 14","R: 16, 14","R: 17, 14","R: 18, 14","R: 5, 15","R: 6, 15","R: 7, 15","R: 8, 15","R: 9, 15","R: 10, 15","R: 11, 15","R: 12, 15","R: 13, 15","R: 14, 15","R: 15, 15","R: 16, 15","R: 17, 15","R: 5, 16","R: 6, 16","R: 7, 16","R: 8, 16","R: 9, 16","R: 10, 16","R: 11, 16","R: 12, 16","R: 13, 16","R: 14, 16","R: 15, 16","R: 16, 16","R: 5, 17","R: 6, 17","R: 7, 17","R: 8, 17","R: 9, 17","R: 10, 17","R: 11, 17","R: 12, 17","R: 13, 17","R: 14, 17","R: 15, 17","R: 5, 18","R: 6, 18","R: 7, 18","R: 8, 18","R: 9, 18","R: 10, 18","R: 11, 18","R: 12, 18","R: 13, 18","R: 14, 18","R: 5, 19","R: 6, 19","R: 7, 19","R: 8, 19","R: 9, 19","R: 10, 19","R: 11, 19","R: 12, 19","R: 13, 19","R: 5, 20","R: 6, 20","R: 7, 20","R: 8, 20","R: 9, 20","R: 10, 20","R: 11, 20","R: 12, 20","R: 5, 21","R: 6, 21","R: 7, 21","R: 8, 21","R: 9, 21","R: 10, 21","R: 11, 21","R: 5, 22","R: 6, 22","R: 7, 22","R: 8, 22","R: 9, 22","R: 10, 22","R: 5, 23","R: 6, 23","R: 7, 23","R: 8, 23","R: 9, 23","R: 5, 24","R: 6, 24","R: 7, 24","R: 8, 24","R: 5, 25","R: 6, 25","R: 7, 25","R: 5, 26","R: 6, 26","R: 5, 27","MAE: 5, 5","MAE: 6, 5","MAE: 7, 5","MAE: 8, 5","MAE: 9, 5","MAE: 10, 5","MAE: 11, 5","MAE: 12, 5","MAE: 13, 5","MAE: 14, 5","MAE: 15, 5","MAE: 16, 5","MAE: 17, 5","MAE: 18, 5","MAE: 19, 5","MAE: 20, 5","MAE: 21, 5","MAE: 22, 5","MAE: 23, 5","MAE: 24, 5","MAE: 25, 5","MAE: 26, 5","MAE: 27, 5","MAE: 5, 6","MAE: 6, 6","MAE: 7, 6","MAE: 8, 6","MAE: 9, 6","MAE: 10, 6","MAE: 11, 6","MAE: 12, 6","MAE: 13, 6","MAE: 14, 6","MAE: 15, 6","MAE: 16, 6","MAE: 17, 6","MAE: 18, 6","MAE: 19, 6","MAE: 20, 6","MAE: 21, 6","MAE: 22, 6","MAE: 23, 6","MAE: 24, 6","MAE: 25, 6","MAE: 26, 6","MAE: 5, 7","MAE: 6, 7","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 10, 7","MAE: 11, 7","MAE: 12, 7","MAE: 13, 7","MAE: 14, 7","MAE: 15, 7","MAE: 16, 7","MAE: 17, 7","MAE: 18, 7","MAE: 19, 7","MAE: 20, 7","MAE: 21, 7","MAE: 22, 7","MAE: 23, 7","MAE: 24, 7","MAE: 25, 7","MAE: 5, 8","MAE: 6, 8","MAE: 7, 8","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 11, 8","MAE: 12, 8","MAE: 13, 8","MAE: 14, 8","MAE: 15, 8","MAE: 16, 8","MAE: 17, 8","MAE: 18, 8","MAE: 19, 8","MAE: 20, 8","MAE: 21, 8","MAE: 22, 8","MAE: 23, 8","MAE: 24, 8","MAE: 5, 9","MAE: 6, 9","MAE: 7, 9","MAE: 8, 9","MAE: 9, 9","MAE: 10, 9","MAE: 11, 9","MAE: 12, 9","MAE: 13, 9","MAE: 14, 9","MAE: 15, 9","MAE: 16, 9","MAE: 17, 9","MAE: 18, 9","MAE: 19, 9","MAE: 20, 9","MAE: 21, 9","MAE: 22, 9","MAE: 23, 9","MAE: 5, 10","MAE: 6, 10","MAE: 7, 10","MAE: 8, 10","MAE: 9, 10","MAE: 10, 10","MAE: 11, 10","MAE: 12, 10","MAE: 13, 10","MAE: 14, 10","MAE: 15, 10","MAE: 16, 10","MAE: 17, 10","MAE: 18, 10","MAE: 19, 10","MAE: 20, 10","MAE: 21, 10","MAE: 22, 10","MAE: 5, 11","MAE: 6, 11","MAE: 7, 11","MAE: 8, 11","MAE: 9, 11","MAE: 10, 11","MAE: 11, 11","MAE: 12, 11","MAE: 13, 11","MAE: 14, 11","MAE: 15, 11","MAE: 16, 11","MAE: 17, 11","MAE: 18, 11","MAE: 19, 11","MAE: 20, 11","MAE: 21, 11","MAE: 5, 12","MAE: 6, 12","MAE: 7, 12","MAE: 8, 12","MAE: 9, 12","MAE: 10, 12","MAE: 11, 12","MAE: 12, 12","MAE: 13, 12","MAE: 14, 12","MAE: 15, 12","MAE: 16, 12","MAE: 17, 12","MAE: 18, 12","MAE: 19, 12","MAE: 20, 12","MAE: 5, 13","MAE: 6, 13","MAE: 7, 13","MAE: 8, 13","MAE: 9, 13","MAE: 10, 13","MAE: 11, 13","MAE: 12, 13","MAE: 13, 13","MAE: 14, 13","MAE: 15, 13","MAE: 16, 13","MAE: 17, 13","MAE: 18, 13","MAE: 19, 13","MAE: 5, 14","MAE: 6, 14","MAE: 7, 14","MAE: 8, 14","MAE: 9, 14","MAE: 10, 14","MAE: 11, 14","MAE: 12, 14","MAE: 13, 14","MAE: 14, 14","MAE: 15, 14","MAE: 16, 14","MAE: 17, 14","MAE: 18, 14","MAE: 5, 15","MAE: 6, 15","MAE: 7, 15","MAE: 8, 15","MAE: 9, 15","MAE: 10, 15","MAE: 11, 15","MAE: 12, 15","MAE: 13, 15","MAE: 14, 15","MAE: 15, 15","MAE: 16, 15","MAE: 17, 15","MAE: 5, 16","MAE: 6, 16","MAE: 7, 16","MAE: 8, 16","MAE: 9, 16","MAE: 10, 16","MAE: 11, 16","MAE: 12, 16","MAE: 13, 16","MAE: 14, 16","MAE: 15, 16","MAE: 16, 16","MAE: 5, 17","MAE: 6, 17","MAE: 7, 17","MAE: 8, 17","MAE: 9, 17","MAE: 10, 17","MAE: 11, 17","MAE: 12, 17","MAE: 13, 17","MAE: 14, 17","MAE: 15, 17","MAE: 5, 18","MAE: 6, 18","MAE: 7, 18","MAE: 8, 18","MAE: 9, 18","MAE: 10, 18","MAE: 11, 18","MAE: 12, 18","MAE: 13, 18","MAE: 14, 18","MAE: 5, 19","MAE: 6, 19","MAE: 7, 19","MAE: 8, 19","MAE: 9, 19","MAE: 10, 19","MAE: 11, 19","MAE: 12, 19","MAE: 13, 19","MAE: 5, 20","MAE: 6, 20","MAE: 7, 20","MAE: 8, 20","MAE: 9, 20","MAE: 10, 20","MAE: 11, 20","MAE: 12, 20","MAE: 5, 21","MAE: 6, 21","MAE: 7, 21","MAE: 8, 21","MAE: 9, 21","MAE: 10, 21","MAE: 11, 21","MAE: 5, 22","MAE: 6, 22","MAE: 7, 22","MAE: 8, 22","MAE: 9, 22","MAE: 10, 22","MAE: 5, 23","MAE: 6, 23","MAE: 7, 23","MAE: 8, 23","MAE: 9, 23","MAE: 5, 24","MAE: 6, 24","MAE: 7, 24","MAE: 8, 24","MAE: 5, 25","MAE: 6, 25","MAE: 7, 25","MAE: 5, 26","MAE: 6, 26","MAE: 5, 27"
334.0,0.32595568895339966,334.0,0.3299608950758085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0,0.32169006019830704,335.0,0.3274796446125581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336.0,0.32790762931108475,336.0,0.3276080400221161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.0,0.32831161469221115,337.0,0.3278191124231446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.0,0.3396729379892349,338.0,0.3313752600929717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339.0,0.33899904787540436,339.0,0.33366239642770146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340.0,0.33959997445344925,340.0,0.3354436698354258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341.0,0.342725969851017,341.0,0.33762835984010314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342.0,0.33183858543634415,342.0,0.33589142751897544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343.0,0.33757733553647995,343.0,0.3363971999242268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344.0,0.354758158326149,344.0,0.3419054874448034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345.0,0.346614308655262,345.0,0.343318133807941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346.0,0.33291515707969666,346.0,0.3401972407894677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347.0,0.3233385309576988,347.0,0.33513962783993706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.0,0.3258000612258911,348.0,0.3323377578557233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
